LOG_NO,by_year_complaint_date,CURRENT_STATUS,FINAL_CATEGORY
2,01/01/2023 12:00:00 AM,Administratively Closed,Operation/Personnel Violations EEO Investigations Sexual Harassment
1,01/01/2022 12:00:00 AM,Under BIA Investigation,Traffic (Not Bribery/Excessive Force) Violation (other than D.U.I.)
1,01/01/2023 12:00:00 AM,Under District Investigation,Conduct Unbecoming Violations Equipment Irregularity
1,01/01/2019 12:00:00 AM,Administratively Closed,Crime Misconduct Sex Offense Other
3,01/01/2020 12:00:00 AM,Administratively Closed,Operation/Personnel Violations EEO Investigations Hostile Work Environment
9,01/01/2022 12:00:00 AM,Case Final,Operation/Personnel Violations Traffic Pursuit
2,01/01/2022 12:00:00 AM,Under BIA Investigation,Operation/Personnel Violations EEO Investigations Racial
1,01/01/2021 12:00:00 AM,Case Final,Crime Misconduct Robbery
101,01/01/2022 12:00:00 AM,Under District Investigation,
1,01/01/2020 12:00:00 AM,Administrative Closure Review,Operation/Personnel Violations Neglect of Duty
1,01/01/2023 12:00:00 AM,Administratively Closed,Medical Integrity Working while on the Medical/IOD
1,01/01/2022 12:00:00 AM,Under BIA Investigation,Sexual Misconduct Sexual Assault Not Minor
5,01/01/2022 12:00:00 AM,Under District Investigation,"Arrest/Lockup Incidents Arrest, Improper, Procedures *Fail to follow G.O.'s"
23,01/01/2023 12:00:00 AM,Under District Investigation,Civil Rights Violation Improper Stop/Seizure Vehicle
4,01/01/2019 12:00:00 AM,Case Final,Verbal Abuse Allegations of Bias
3,01/01/2021 12:00:00 AM,Administratively Closed,Domestic Incidents Domestic Altercation Physical Abuse No Injury
3,01/01/2022 12:00:00 AM,Administratively Closed,Conduct Unbecoming Violations Altercation/Disturbance Other
1,01/01/2019 12:00:00 AM,Advocate Review,Conduct Unbecoming Violations Altercation/Disturbance Traffic
14,01/01/2021 12:00:00 AM,Case Final,Operation/Personnel Violations Misuse of Department Records
2,01/01/2021 12:00:00 AM,Case Final,Alcohol/Drug Abuse Random Drug/Return to Duty 6 mos. follow-up .021 or greater
1,01/01/2023 12:00:00 AM,Command Channel Review,Crime Misconduct Other Misdemeanor Arrest
2,01/01/2022 12:00:00 AM,Administratively Closed,Conduct Unbecoming Violations Harassment
3,01/01/2023 12:00:00 AM,Administratively Closed,Sexual Misconduct Improper Sexual Conduct Physical Not Minor
1,01/01/2019 12:00:00 AM,Case Final,Medical Integrity Medical Role Violation Unauthorized Location
30,01/01/2022 12:00:00 AM,Administratively Closed,Operation/Personnel Violations Reports Fail to Submit
33,01/01/2022 12:00:00 AM,Case Final,Conduct Unbecoming Violations Abuse of Authority
1,01/01/2020 12:00:00 AM,Case Final,Operation/Personnel Violations Weapon Unauthorized Weapon
1,01/01/2022 12:00:00 AM,Case Final,Civil Rights Violation Improper Stop/Seizure
6,01/01/2022 12:00:00 AM,Case Final,Operation/Personnel Violations Reports
2,01/01/2022 12:00:00 AM,Case Final,Medical Integrity Medical Role Violation Failure to Appear at MSS
4,01/01/2019 12:00:00 AM,Case Final,Supervisory Responsibilities
5,01/01/2020 12:00:00 AM,Case Final,Arrest/Lockup Incidents
1,01/01/2019 12:00:00 AM,Case Final,Operation/Personnel Violations EEO Investigations Racial
3,01/01/2022 12:00:00 AM,Under BIA Investigation,Supervisory Responsibilities Initiate Proper Action
3,01/01/2023 12:00:00 AM,Under BIA Investigation,Alcohol/Drug Abuse Possession/Drinking Alcohol/Drug Use
8,01/01/2020 12:00:00 AM,Case Final,Traffic (Not Bribery/Excessive Force) Violation (other than D.U.I.)
811,01/01/2019 12:00:00 AM,Case Final,Operation/Personnel Violations Inadequate/Failure to Provide Service
48,01/01/2021 12:00:00 AM,Under BIA Investigation,Operation/Personnel Violations Neglect of Duty
24,01/01/2021 12:00:00 AM,OLA Review,Operation/Personnel Violations Insubordination
6,01/01/2022 12:00:00 AM,Case Final,Traffic (Not Bribery/Excessive Force) Misconduct During Issuance of Citation
2,01/01/2020 12:00:00 AM,Administratively Closed,Operation/Personnel Violations Employment Action - Shakman Decree
1,01/01/2023 12:00:00 AM,Case Final,Verbal Abuse Allegations of Bias
3,01/01/2019 12:00:00 AM,Administratively Closed,"Crime Misconduct Assault/Battery, etc."
5,01/01/2022 12:00:00 AM,Advocate Review,Arrest/Lockup Incidents Prisoner's Property Property Failed to Inventory
3,01/01/2022 12:00:00 AM,Administratively Closed,Civil Rights Violation Profiling
3,01/01/2023 12:00:00 AM,Under BIA Investigation,Operation/Personnel Violations Reports FALSE
9,01/01/2019 12:00:00 AM,Case Final,Crime Misconduct
4,01/01/2021 12:00:00 AM,Case Final,Conduct Unbecoming Violations Altercation/Disturbance Neighbor
15,01/01/2022 12:00:00 AM,Case Final,Alcohol/Drug Abuse Intoxicated
2,01/01/2022 12:00:00 AM,Administratively Closed,Crime Misconduct Judicial Process Perjury
1,01/01/2022 12:00:00 AM,Command Channel Review,Medical Integrity Medical Role Violation
6,01/01/2022 12:00:00 AM,Administratively Closed,Arrest/Lockup Incidents Prisoner's Property Property Failed to Inventory
1,01/01/2022 12:00:00 AM,Administratively Closed,"Operation/Personnel Violations Leaving Assignment (District, Beat, Sector, Court)"
1,01/01/2021 12:00:00 AM,Under BIA Investigation,Arrest/Lockup Incidents Prisoner's Property Money Failed to Inventory
258,01/01/2023 12:00:00 AM,Under District Investigation,Operation/Personnel Violations Inadequate/Failure to Provide Service
1,01/01/2021 12:00:00 AM,OLA Review,Drugs/Substance Abuse Use/Abuse Drugs/Controlled Substance
1,01/01/2022 12:00:00 AM,Investigator Assignment,Alcohol/Drug Abuse Possession/Drinking Alcohol/Drug Use
1,01/01/2020 12:00:00 AM,Command Channel Review,Operation/Personnel Violations Workplace Violence
4,01/01/2020 12:00:00 AM,Advocate Review,Operation/Personnel Violations Traffic Pursuit
1,01/01/2021 12:00:00 AM,Under BIA Investigation,Operation/Personnel Violations EEO Investigations Sexual Harassment
2,01/01/2021 12:00:00 AM,Under District Investigation,Conduct Unbecoming Violations Equipment Irregularity
2,01/01/2022 12:00:00 AM,Advocate Review,Operation/Personnel Violations Traffic Pursuit No Injury
2,01/01/2022 12:00:00 AM,Case Final,Civil Rights Violation Improper Search Vehicle No Damage
25,01/01/2023 12:00:00 AM,Advocate Review,Operation/Personnel Violations Conduct Unbecoming
5,01/01/2022 12:00:00 AM,Administratively Closed,Traffic (Not Bribery/Excessive Force) Parking Complaints
3,01/01/2022 12:00:00 AM,Under BIA Investigation,Operation/Personnel Violations Slow/ No Response
1,01/01/2023 12:00:00 AM,OLA Review,Drugs/Substance Abuse Positive Drug Screen
3,01/01/2019 12:00:00 AM,Case Final,Supervisory Responsibilities Initiate Proper Action
5,01/01/2023 12:00:00 AM,Under District Investigation,Operation/Personnel Violations Reports FALSE
16,01/01/2019 12:00:00 AM,Case Final,Search Warrants Missing Property and Money
8,01/01/2022 12:00:00 AM,Administratively Closed,Crime Misconduct Damage/Trespassing to Property
2,01/01/2019 12:00:00 AM,Case Final,Operation/Personnel Violations Weapon Failure to Register
7,01/01/2022 12:00:00 AM,Under District Investigation,Operation/Personnel Violations Slow/ No Response
4,01/01/2022 12:00:00 AM,Case Final,Operation/Personnel Violations Secondary / Special Employment
4,01/01/2020 12:00:00 AM,Case Final,"Operation/Personnel Violations Leaving Assignment (District, Beat, Sector, Court)"
265,01/01/2023 12:00:00 AM,Administratively Closed,Operation/Personnel Violations Neglect of Duty
1,01/01/2021 12:00:00 AM,Administratively Closed,Conduct Unbecoming Violations Altercation/Disturbance Traffic
38,01/01/2023 12:00:00 AM,Administratively Closed,"Crime Misconduct Assault/Battery, etc."
1,01/01/2020 12:00:00 AM,OLA Review,Conduct Unbecoming Violations Abuse of Authority
1,01/01/2021 12:00:00 AM,OLA Review,Conduct Unbecoming Violations Residency
1,01/01/2019 12:00:00 AM,Administratively Closed,Excessive Force Unnecessary Physical Contact No Injury
11,01/01/2021 12:00:00 AM,Under BIA Investigation,Operation/Personnel Violations Inadequate/Failure to Provide Service
1,01/01/2019 12:00:00 AM,Under BIA Investigation,Operation/Personnel Violations EEO Investigations
1,01/01/2020 12:00:00 AM,Case Final,Operation/Personnel Violations EEO Investigations
1,01/01/2022 12:00:00 AM,Advocate Review,Bribery/Official Corruption Solicit/Accept Bribe Traffic
4,01/01/2020 12:00:00 AM,Case Final,Conduct Unbecoming Violations Association with Felon
1,01/01/2020 12:00:00 AM,Case Final,Domestic Incidents
3,01/01/2020 12:00:00 AM,Under BIA Investigation,Civil Rights Violation Improper Arrest Planting Item - Vehicle Firearm
2,01/01/2021 12:00:00 AM,Police Board,Bribery/Official Corruption Solicit/Accept Bribe Non-Traffic
1,01/01/2020 12:00:00 AM,Case Final,Arrest/Lockup Incidents Prisoner's Property Money
31,01/01/2019 12:00:00 AM,Case Final,
1,01/01/2020 12:00:00 AM,Case Final,Medical Integrity False Reporting of IOD
2,01/01/2020 12:00:00 AM,Case Final,Drugs/Substance Abuse Positive Drug Screen Specimen
1,01/01/2023 12:00:00 AM,Under BIA Investigation,Sexual Misconduct Improper Sexual Conduct Physical Not Minor
13,01/01/2019 12:00:00 AM,Administratively Closed,Operation/Personnel Violations Conduct Unbecoming
3,01/01/2021 12:00:00 AM,Case Final,"Crime Misconduct Drugs/Controlled Substance, Possession or Sale"
2,01/01/2023 12:00:00 AM,Advocate Review,Alcohol/Drug Abuse Possession/Drinking Alcohol/Drug Use
1,01/01/2023 12:00:00 AM,Case Final,Domestic Incidents Domestic Incident - No Physical Abuse Harassment Electronic
1,01/01/2020 12:00:00 AM,Case Final,Supervisory Responsibilities
2,01/01/2023 12:00:00 AM,Administratively Closed,Weapon Discharge Taser Non-Serious Bodily Injury With Hits
52,01/01/2021 12:00:00 AM,Case Final,Operation/Personnel Violations Slow/ No Response
27,01/01/2019 12:00:00 AM,Case Final,Verbal Abuse Profanity
21,01/01/2019 12:00:00 AM,Administratively Closed,Crime Misconduct
2,01/01/2022 12:00:00 AM,Case Final,Civil Rights Violation First Amendment Filming Police Activity
3,01/01/2021 12:00:00 AM,Administratively Closed,Arrest/Lockup Incidents Escape
5,01/01/2022 12:00:00 AM,Under District Investigation,Operation/Personnel Violations Reports Fail to Submit
2,01/01/2022 12:00:00 AM,Command Channel Review,Operation/Personnel Violations Traffic Pursuit No Injury
2,01/01/2023 12:00:00 AM,Case Final,Traffic (Not Bribery/Excessive Force) Improper Processing/Reporting/Procedures Traffic Crash Report
7,01/01/2022 12:00:00 AM,Administratively Closed,Operation/Personnel Violations Reports Improper
276,01/01/2023 12:00:00 AM,Administratively Closed,Operation/Personnel Violations Conduct Unbecoming
4,01/01/2022 12:00:00 AM,Under BIA Investigation,Alcohol/Drug Abuse Possession/Drinking Alcohol/Drug Use
6,01/01/2021 12:00:00 AM,Administratively Closed,Crime Misconduct Damage/Trespassing to Property
3,01/01/2020 12:00:00 AM,Administratively Closed,Crime Misconduct Damage/Trespassing to Property
8,01/01/2020 12:00:00 AM,Case Final,Crime Misconduct Other Felony
3,01/01/2022 12:00:00 AM,Advocate Review,Operation/Personnel Violations Insubordination
25,01/01/2023 12:00:00 AM,Under District Investigation,Conduct Unbecoming Violations Harassment Allegations of Bias
1,01/01/2022 12:00:00 AM,Command Channel Review,Domestic Incidents Domestic Incident - No Physical Abuse Violation of Court Order Involving a Minor
2,01/01/2021 12:00:00 AM,Case Final,Supervisory Responsibilities Properly Direct Subordinate
1,01/01/2022 12:00:00 AM,Administratively Closed,Medical Integrity Altering Medical Documents
1,01/01/2020 12:00:00 AM,Command Channel Review,Weapon Discharge Firearm No Injury With No Hits
1,01/01/2020 12:00:00 AM,Administratively Closed,Weapon Discharge Firearm No Injury With No Hits
12,01/01/2023 12:00:00 AM,Administratively Closed,Operation/Personnel Violations Reports FALSE
1,01/01/2019 12:00:00 AM,Administratively Closed,Operation/Personnel Violations Inventory Procedures - Non-Arrestee
1,01/01/2021 12:00:00 AM,Under BIA Investigation,Supervisory Responsibilities Properly Monitor/Inspect Subordinate
1,01/01/2021 12:00:00 AM,Administratively Closed,Conduct Unbecoming Violations Altering Official Documents Department
1,01/01/2023 12:00:00 AM,Under BIA Investigation,Arrest/Lockup Incidents Prisoner's Property Money
1,01/01/2023 12:00:00 AM,Case Final,Alcohol/Drug Abuse D.U.I Accidental Injury
124,01/01/2021 12:00:00 AM,Case Final,Operation/Personnel Violations Insubordination
1,01/01/2022 12:00:00 AM,Administratively Closed,Arrest/Lockup Incidents Search Person SVS Proposal Improper Search - Inappropriate touching
43,01/01/2021 12:00:00 AM,Administratively Closed,Crime Misconduct Police Impersonator - (Advocate Section use only)
1,01/01/2021 12:00:00 AM,Under BIA Investigation,Operation/Personnel Violations Misuse of Department Records
1,01/01/2023 12:00:00 AM,Command Channel Review,Verbal Abuse Profanity
1,01/01/2023 12:00:00 AM,OLA Review,Medical Integrity Violation of Medical Restriction
1,01/01/2021 12:00:00 AM,Police Board,Operation/Personnel Violations Insubordination
5,01/01/2022 12:00:00 AM,Case Final,Excessive Force Unnecessary Physical Contact No Injury
2,01/01/2023 12:00:00 AM,Administratively Closed,
1,01/01/2023 12:00:00 AM,Under BIA Investigation,Sexual Misconduct Verbal Abuse Unwanted Sexual Advances or Requests for Sexual Favors
1,01/01/2020 12:00:00 AM,Administratively Closed,Operation/Personnel Violations Misuse of Department Records
4,01/01/2023 12:00:00 AM,Case Final,Excessive Force Unnecessary Physical Contact No Injury
3,01/01/2019 12:00:00 AM,Administrative Closure Review,Operation/Personnel Violations
2,01/01/2021 12:00:00 AM,Administratively Closed,Civil Rights Violation Improper Stop/Seizure Person Custodial Search
1,01/01/2023 12:00:00 AM,Command Channel Review,Conduct Unbecoming Violations Harassment Allegations of Bias
7,01/01/2023 12:00:00 AM,Administratively Closed,Operation/Personnel Violations Failure to Identify
2,01/01/2021 12:00:00 AM,Administratively Closed,Alcohol/Drug Abuse Intoxicated
2,01/01/2020 12:00:00 AM,Advocate Review,Excessive Force Weapon Serious Bodily Injury
89,01/01/2019 12:00:00 AM,Case Final,Conduct Unbecoming Violations
1,01/01/2023 12:00:00 AM,Administratively Closed,Operation/Personnel Violations Unfit for Duty
1,01/01/2022 12:00:00 AM,Administratively Closed,Excessive Force Unnecessary Physical Contact
2,01/01/2022 12:00:00 AM,Under BIA Investigation,Operation/Personnel Violations Absent without Permission
3,01/01/2023 12:00:00 AM,Administratively Closed,Supervisory Responsibilities Properly Direct Subordinate
9,01/01/2023 12:00:00 AM,Case Final,Operation/Personnel Violations Reports FALSE
3,01/01/2021 12:00:00 AM,Case Final,Arrest/Lockup Incidents Search Property
2,01/01/2022 12:00:00 AM,Case Final,Operation/Personnel Violations EEO Investigations Racial
6,01/01/2023 12:00:00 AM,Under BIA Investigation,Civil Rights Violation Improper Stop/Seizure Person Protective Pat Down
13,01/01/2022 12:00:00 AM,Administratively Closed,Operation/Personnel Violations Slow/ No Response
1,01/01/2022 12:00:00 AM,OLA Review,Operation/Personnel Violations Insubordination
6,01/01/2019 12:00:00 AM,Case Final,Coercion Threat of Arrest/Charges Coerced Cooperation
2,01/01/2023 12:00:00 AM,Command Channel Review,Operation/Personnel Violations Inventory Procedures - Non-Arrestee
1,01/01/2022 12:00:00 AM,Administratively Closed,"Crime Misconduct Murder/Manslaughter, etc."
1,01/01/2019 12:00:00 AM,Administratively Closed,Arrest/Lockup Incidents
1,01/01/2020 12:00:00 AM,Command Channel Review,Supervisory Responsibilities Initiate Proper Action
2,01/01/2019 12:00:00 AM,Administratively Closed,Operation/Personnel Violations Misuse of Department Records
1,01/01/2021 12:00:00 AM,Under BIA Investigation,Alcohol/Drug Abuse D.U.I Accidental No Injury
9,01/01/2020 12:00:00 AM,Case Final,Conduct Unbecoming Violations Altercation/Disturbance Neighbor
1,01/01/2020 12:00:00 AM,OLA Review,Medical Integrity Working while on the Medical/IOD
2,01/01/2019 12:00:00 AM,Case Final,Civil Rights Violation Improper Search Person Missing Property
1,01/01/2022 12:00:00 AM,Under BIA Investigation,Medical Integrity Working while on the Medical/IOD
1,01/01/2020 12:00:00 AM,OLA Review,Traffic (Not Bribery/Excessive Force) Improper Processing/Reporting/Procedures Citation
2,01/01/2023 12:00:00 AM,Case Final,Operation/Personnel Violations Secondary / Special Employment
1,01/01/2021 12:00:00 AM,Under BIA Investigation,Supervisory Responsibilities Fail to Obtain a Complaint Register Number
35,01/01/2022 12:00:00 AM,Administratively Closed,Operation/Personnel Violations Misuse of Department Equipment/Supplies
2,01/01/2022 12:00:00 AM,Administratively Closed,Excessive Force Unnecessary Physical Contact No Injury
11,01/01/2023 12:00:00 AM,Case Final,Operation/Personnel Violations Inventory Procedures - Non-Arrestee
3,01/01/2019 12:00:00 AM,Case Final,Crime Misconduct Other Felony
2,01/01/2021 12:00:00 AM,Case Final,Operation/Personnel Violations Traffic Pursuit
4,01/01/2020 12:00:00 AM,Administratively Closed,Bribery/Official Corruption False Testimony
1,01/01/2023 12:00:00 AM,Case Final,Excessive Force No Weapon Non-Serious Bodily Injury
4,01/01/2019 12:00:00 AM,Case Final,Excessive Force
229,01/01/2022 12:00:00 AM,Administratively Closed,Operation/Personnel Violations Neglect of Duty
10,01/01/2021 12:00:00 AM,Case Final,Operation/Personnel Violations Reports FALSE
1,01/01/2021 12:00:00 AM,Administratively Closed,Sexual Misconduct Sexual Assault Not Minor
15,01/01/2022 12:00:00 AM,Under BIA Investigation,Operation/Personnel Violations Misuse of Department Equipment/Supplies
2,01/01/2020 12:00:00 AM,Under BIA Investigation,Crime Misconduct Sexual Misconduct Sexual Assault Aggravated
3,01/01/2022 12:00:00 AM,Case Final,Excessive Force No Weapon No Injury
3,01/01/2020 12:00:00 AM,Command Channel Review,Operation/Personnel Violations Traffic Pursuit No Injury
3,01/01/2020 12:00:00 AM,Administratively Closed,Operation/Personnel Violations Inventory Procedures - Non-Arrestee
1,01/01/2020 12:00:00 AM,Under BIA Investigation,Conduct Unbecoming Violations
23,01/01/2023 12:00:00 AM,Administratively Closed,Excessive Force No Weapon No Injury
1,01/01/2023 12:00:00 AM,Under BIA Investigation,Operation/Personnel Violations EEO Investigations Disability
1,01/01/2019 12:00:00 AM,Administratively Closed,Alcohol/Drug Abuse Intoxicated
2,01/01/2021 12:00:00 AM,Administratively Closed,Excessive Force No Weapon Non-Serious Bodily Injury
1,01/01/2020 12:00:00 AM,Advocate Review,Operation/Personnel Violations Reports
2,01/01/2022 12:00:00 AM,Case Final,Medical Integrity Working while on the Medical/IOD
12,01/01/2023 12:00:00 AM,Case Final,Conduct Unbecoming Violations Altercation/Disturbance Other
3,01/01/2023 12:00:00 AM,Case Final,Arrest/Lockup Incidents Prisoner's Property Property
7,01/01/2023 12:00:00 AM,Under BIA Investigation,Excessive Force Unnecessary Exhibition of Weapon Pointing
1,01/01/2022 12:00:00 AM,Closed/No Finding,Operation/Personnel Violations Conduct Unbecoming
2,01/01/2023 12:00:00 AM,Command Channel Review,Operation/Personnel Violations Reports Improper
249,01/01/2023 12:00:00 AM,Administratively Closed,Operation/Personnel Violations Inadequate/Failure to Provide Service
5,01/01/2023 12:00:00 AM,Under BIA Investigation,Traffic (Not Bribery/Excessive Force) Preventable Traffic Accident
2,01/01/2023 12:00:00 AM,Case Final,Crime Misconduct Other Felony
1,01/01/2023 12:00:00 AM,Under BIA Investigation,Bribery/Official Corruption Use of Official Position
1,01/01/2020 12:00:00 AM,Administratively Closed,Operation/Personnel Violations Traffic Pursuit Serious Bodily Injury
33,01/01/2023 12:00:00 AM,Command Channel Review,Operation/Personnel Violations Inadequate/Failure to Provide Service
36,01/01/2019 12:00:00 AM,Case Final,Arrest/Lockup Incidents Prisoner's Property
1,01/01/2020 12:00:00 AM,Case Final,Operation/Personnel Violations Unfit for Duty
3,01/01/2019 12:00:00 AM,Administratively Closed,Crime Misconduct Burglary
2,01/01/2022 12:00:00 AM,Under District Investigation,Traffic (Not Bribery/Excessive Force) Violation (other than D.U.I.)
45,01/01/2022 12:00:00 AM,Administratively Closed,"Crime Misconduct Assault/Battery, etc."
24,01/01/2019 12:00:00 AM,Administratively Closed,Operation/Personnel Violations Inadequate/Failure to Provide Service
1,01/01/2023 12:00:00 AM,Under BIA Investigation,Crime Misconduct Conspiracy to Commit a Crime
13,01/01/2021 12:00:00 AM,Administratively Closed,Operation/Personnel Violations Reports Fail to Submit
6,01/01/2023 12:00:00 AM,Administratively Closed,Conduct Unbecoming Violations Residency
440,01/01/2021 12:00:00 AM,Case Final,Operation/Personnel Violations Neglect of Duty
1,01/01/2022 12:00:00 AM,Advocate Review,Medical Integrity Medical Role Violation
1,01/01/2022 12:00:00 AM,OLA Review,Operation/Personnel Violations Conduct Unbecoming
1,01/01/2021 12:00:00 AM,Administratively Closed,Operation/Personnel Violations EEO Investigations Disability
1,01/01/2020 12:00:00 AM,Administratively Closed,Civil Rights Violation Profiling
2,01/01/2020 12:00:00 AM,Administratively Closed,Traffic (Not Bribery/Excessive Force) Preventable Traffic Accident
1,01/01/2023 12:00:00 AM,Under District Investigation,Conduct Unbecoming Violations Harassment
1,01/01/2023 12:00:00 AM,Administratively Closed,Operation/Personnel Violations Absent without Permission
3,01/01/2023 12:00:00 AM,Under District Investigation,Operation/Personnel Violations Inventory Procedures - Non-Arrestee
6,01/01/2020 12:00:00 AM,Administratively Closed,Crime Misconduct Other Misdemeanor Arrest
213,01/01/2022 12:00:00 AM,Under BIA Investigation,
6,01/01/2021 12:00:00 AM,Case Final,Traffic (Not Bribery/Excessive Force) Parking Complaints
1,01/01/2023 12:00:00 AM,OLA Review,Operation/Personnel Violations Reports FALSE
1,01/01/2020 12:00:00 AM,Under BIA Investigation,Operation/Personnel Violations EEO Investigations Sexual Harassment
2,01/01/2022 12:00:00 AM,Under BIA Investigation,Operation/Personnel Violations Traffic Pursuit
4,01/01/2019 12:00:00 AM,Case Final,Supervisory Responsibilities Properly Direct Subordinate
1,01/01/2022 12:00:00 AM,Advocate Review,Operation/Personnel Violations Absent without Permission
4,01/01/2021 12:00:00 AM,Administrative Closure Review,Operation/Personnel Violations Neglect of Duty
1,01/01/2022 12:00:00 AM,Under BIA Investigation,Operation/Personnel Violations EEO Investigations Gender
3,01/01/2022 12:00:00 AM,Advocate Review,Traffic (Not Bribery/Excessive Force) Violation (other than D.U.I.)
2,01/01/2019 12:00:00 AM,Administratively Closed,Crime Misconduct Theft
2,01/01/2023 12:00:00 AM,Under BIA Investigation,Conduct Unbecoming Violations Weapon Irregularity Lost/Stolen Weapon
2,01/01/2023 12:00:00 AM,Administratively Closed,Crime Misconduct Sexual Misconduct Sexual Assault Non-Aggravated
7,01/01/2021 12:00:00 AM,Case Final,Arrest/Lockup Incidents Escape
3,01/01/2023 12:00:00 AM,Administratively Closed,Domestic Incidents Domestic Incident - Physical Abuse No Injury Involving a Minor
7,01/01/2023 12:00:00 AM,Administratively Closed,Civil Rights Violation Improper Search Vehicle Excessive Damage
1,01/01/2020 12:00:00 AM,Under District Investigation,Operation/Personnel Violations Neglect of Duty
4,01/01/2023 12:00:00 AM,Case Final,Civil Rights Violation Improper Stop/Seizure Vehicle
2,01/01/2020 12:00:00 AM,Case Final,Operation/Personnel Violations Traffic Pursuit
15,01/01/2020 12:00:00 AM,Case Final,Operation/Personnel Violations Weapon Lost/Stolen Weapon
3,01/01/2021 12:00:00 AM,Under District Investigation,Conduct Unbecoming Violations Harassment Allegations of Bias
1,01/01/2021 12:00:00 AM,Administratively Closed,Verbal Abuse Unwelcomed Sexual Advances or Requests for Sexual Favors
4,01/01/2019 12:00:00 AM,Case Final,Traffic (Not Bribery/Excessive Force) Preventable Traffic Accident
1,01/01/2020 12:00:00 AM,Administratively Closed,Operation/Personnel Violations Unfit for Duty
2,01/01/2021 12:00:00 AM,Administratively Closed,Operation/Personnel Violations EEO Investigations Gender
1,01/01/2019 12:00:00 AM,Administratively Closed,Conduct Unbecoming Violations Indebtedness to City
181,01/01/2020 12:00:00 AM,Case Final,Operation/Personnel Violations
3,01/01/2022 12:00:00 AM,Administratively Closed,Domestic Incidents Domestic Incident - Physical Abuse Non-Serious Bodily Injury Not Involving a Minor
1,01/01/2020 12:00:00 AM,Administratively Closed,Operation/Personnel Violations Workplace Violence
28,01/01/2020 12:00:00 AM,Case Final,Conduct Unbecoming Violations
4,01/01/2019 12:00:00 AM,Case Final,Conduct Unbecoming Violations Weapon Irregularity Lost/Stolen Weapon
2,01/01/2019 12:00:00 AM,Advocate Review,Arrest/Lockup Incidents Prisoner's Property Property Failed to Inventory
7,01/01/2019 12:00:00 AM,Under BIA Investigation,
1,01/01/2021 12:00:00 AM,Case Final,Operation/Personnel Violations Late - Roll Call / Assignment / Court
2,01/01/2022 12:00:00 AM,Administratively Closed,Supervisory Responsibilities Fail to Obtain a Complaint Register Number
2,01/01/2020 12:00:00 AM,Case Final,Operation/Personnel Violations Absent without Permission
33,01/01/2023 12:00:00 AM,Case Final,Conduct Unbecoming Violations Abuse of Authority
2,01/01/2019 12:00:00 AM,Advocate Review,Operation/Personnel Violations Neglect of Duty
1,01/01/2020 12:00:00 AM,Case Final,Crime Misconduct
11,01/01/2022 12:00:00 AM,Administratively Closed,Conduct Unbecoming Violations Residency
2,01/01/2023 12:00:00 AM,Case Final,Alcohol/Drug Abuse Impairment .04 - .079
6,01/01/2022 12:00:00 AM,Case Final,Traffic (Not Bribery/Excessive Force) Violation (other than D.U.I.)
5,01/01/2023 12:00:00 AM,Under District Investigation,Excessive Force Unnecessary Exhibition of Weapon Pointing
6,01/01/2020 12:00:00 AM,Under District Investigation,Operation/Personnel Violations Conduct Unbecoming
3,01/01/2020 12:00:00 AM,Administratively Closed,Operation/Personnel Violations Failure to Identify
4,01/01/2019 12:00:00 AM,Case Final,Civil Rights Violation Improper Arrest
12,01/01/2023 12:00:00 AM,Case Final,Operation/Personnel Violations Weapon Lost/Stolen Weapon
1,01/01/2022 12:00:00 AM,Under District Investigation,Operation/Personnel Violations Reports Improper
1,01/01/2020 12:00:00 AM,Command Channel Review,Operation/Personnel Violations Insubordination
219,01/01/2023 12:00:00 AM,Case Final,Operation/Personnel Violations Conduct Unbecoming
1,01/01/2022 12:00:00 AM,Under District Investigation,Traffic (Not Bribery/Excessive Force) Preventable Traffic Accident
6,01/01/2023 12:00:00 AM,Administratively Closed,Conduct Unbecoming Violations Harassment
1,01/01/2023 12:00:00 AM,Advocate Review,"Crime Misconduct Assault/Battery, etc."
4,01/01/2020 12:00:00 AM,Case Final,Traffic (Not Bribery/Excessive Force) Parking Complaints
7,01/01/2022 12:00:00 AM,Command Channel Review,Operation/Personnel Violations Reports Fail to Submit
1,01/01/2021 12:00:00 AM,Case Final,Traffic (Not Bribery/Excessive Force) Improper Processing/Reporting/Procedures
1,01/01/2023 12:00:00 AM,Case Final,Medical Integrity Medical Role Violation
1,01/01/2020 12:00:00 AM,Administratively Closed,Bribery/Official Corruption Recommend Professional Service
1,01/01/2022 12:00:00 AM,Case Final,Traffic (Not Bribery/Excessive Force) Fail to Enforce Traffic Regulations
2,01/01/2019 12:00:00 AM,Under BIA Investigation,Conduct Unbecoming Violations
2,01/01/2023 12:00:00 AM,Advocate Review,Supervisory Responsibilities Conduct an Improper/Inadequate Investigation
2,01/01/2023 12:00:00 AM,Under District Investigation,Operation/Personnel Violations Seat Belts Other
307,01/01/2022 12:00:00 AM,Case Final,Operation/Personnel Violations Neglect of Duty
3,01/01/2023 12:00:00 AM,Case Final,Alcohol/Drug Abuse Possession/Drinking Alcohol/Drug Use
1,01/01/2022 12:00:00 AM,Advocate Review,Drugs/Substance Abuse Positive Drug Screen
4,01/01/2019 12:00:00 AM,Advocate Review,Operation/Personnel Violations Conduct Unbecoming
2,01/01/2023 12:00:00 AM,Administratively Closed,Bribery/Official Corruption Use of Official Position
