fund_type,fund_code,fund_desc,dept_num,dept_desc,approp_auth,approp_auth_desc,approp_acc,approp_acc_desc,ordinance,year,department
LOCAL,0740,O HARE REVENUE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,145,LEGAL EXPENSES,3030000.0,2021,Finance General
LOCAL,0740,O HARE REVENUE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,161,MAINT FACILITIES,5030000.0,2021,Finance General
LOCAL,0740,O HARE REVENUE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,172,INSURANCE PREMIUMS,16615200.0,2021,Finance General
LOCAL,0740,O HARE REVENUE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,245,REIMBURSEMENT TO TRAVELERS,35000.0,2021,Finance General
LOCAL,0740,O HARE REVENUE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,902,INTEREST ON BONDS,451481468.0,2021,Finance General
LOCAL,0740,O HARE REVENUE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,912,PAYMENT OF BONDS,251815000.0,2021,Finance General
LOCAL,0740,O HARE REVENUE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,931,TORT/NON-TORT JUDGMENT,8000.0,2021,Finance General
LOCAL,0740,O HARE REVENUE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,959,BOND FEES AND COSTS,2485532.0,2021,Finance General
LOCAL,0740,O HARE REVENUE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9027,SOCIAL SECURITY TAX,36820.0,2021,Finance General
LOCAL,0740,O HARE REVENUE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9046,OPERATIONS AND MAINTENANCE RESERVE,3000000.0,2021,Finance General
LOCAL,0740,O HARE REVENUE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9047,SPECIAL CAPITAL PROJECTS - AIRLINES,2000000.0,2021,Finance General
LOCAL,0740,O HARE REVENUE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9067,PHYSICAL EXAMS,26416.0,2021,Finance General
LOCAL,0740,O HARE REVENUE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9076,CITY CNTB MEDICARE TAX,1558575.0,2021,Finance General
LOCAL,0740,O HARE REVENUE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9085,CITY DEFERRED COMPENSATION,149416.0,2021,Finance General
LOCAL,0740,O HARE REVENUE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9198,COVID-19,1004000.0,2021,Finance General
LOCAL,0740,O HARE REVENUE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9611,REIMB - INDIRECT COSTS TO CORPORATE,26423158.0,2021,Finance General
LOCAL,0740,O HARE REVENUE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9980,MUNICIPAL FUND PENSION ALLOCATION,39795000.0,2021,Finance General
LOCAL,0740,O HARE REVENUE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9981,LABORERS' FUND PENSION ALLOCATION,5909000.0,2021,Finance General
LOCAL,0740,O HARE REVENUE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9982,POLICEMEN'S FUND PENSION ALLOCATION,13107000.0,2021,Finance General
LOCAL,0740,O HARE REVENUE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9983,FIREMEN'S FUND PENSION ALLOCATION,18466000.0,2021,Finance General
LOCAL,0994,CONTROLLED SUBSTANCES,57,CPD,1005,Chicago Police Department,140,PROFESSIONAL AND TECHNICAL SERVICES,100000.0,2021,Chicago Police Department
LOCAL,0996,AFFORDABLE HOUSING OPPORTUNITY FUND,21,DOH,2010,Department of Housing,5,SALARIES AND WAGES - ON PAYROLL,755950.0,2021,Department of Housing
LOCAL,0996,AFFORDABLE HOUSING OPPORTUNITY FUND,21,DOH,2010,Department of Housing,15,SCHEDULE SALARY ADJUSTMENTS,2911.0,2021,Department of Housing
LOCAL,0996,AFFORDABLE HOUSING OPPORTUNITY FUND,21,DOH,2010,Department of Housing,139,IT DEVELOPMENT,35000.0,2021,Department of Housing
LOCAL,0996,AFFORDABLE HOUSING OPPORTUNITY FUND,21,DOH,2010,Department of Housing,140,PROFESSIONAL AND TECHNICAL SERVICES,530000.0,2021,Department of Housing
LOCAL,0996,AFFORDABLE HOUSING OPPORTUNITY FUND,21,DOH,2010,Department of Housing,169,TECHNICAL MEETING COSTS,9000.0,2021,Department of Housing
LOCAL,0996,AFFORDABLE HOUSING OPPORTUNITY FUND,21,DOH,2010,Department of Housing,9213,AFFORDABLE HOUSING DENSITY PROGRAM,27719100.0,2021,Department of Housing
LOCAL,0996,AFFORDABLE HOUSING OPPORTUNITY FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,29,HMO PREMIUMS,30624.0,2021,Finance General
LOCAL,0996,AFFORDABLE HOUSING OPPORTUNITY FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,42,For the Costs of Claims and Administration for Hospital and Medical Care Provided to Eligible Employees  Provided However  That All Payments to the In...,70694.0,2021,Finance General
LOCAL,0996,AFFORDABLE HOUSING OPPORTUNITY FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,45,PREM TERM LIFE INSURANCE,867.0,2021,Finance General
LOCAL,0996,AFFORDABLE HOUSING OPPORTUNITY FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,52,MEDICAL CARE CLAIMS,1662.0,2021,Finance General
LOCAL,0996,AFFORDABLE HOUSING OPPORTUNITY FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,56,DENTAL PLAN PREMIUMS,4198.0,2021,Finance General
LOCAL,0996,AFFORDABLE HOUSING OPPORTUNITY FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,94,LAYOFFS / FURLOUGH DAYS SAVINGS,-4092.0,2021,Finance General
LOCAL,0996,AFFORDABLE HOUSING OPPORTUNITY FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,140,PROFESSIONAL AND TECHNICAL SERVICES,443.0,2021,Finance General
LOCAL,0996,AFFORDABLE HOUSING OPPORTUNITY FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9085,CITY DEFERRED COMPENSATION,643.0,2021,Finance General
LOCAL,0996,AFFORDABLE HOUSING OPPORTUNITY FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9610,REIMB - PENSION PAYMENTS,215000.0,2021,Finance General
LOCAL,0996,AFFORDABLE HOUSING OPPORTUNITY FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9611,REIMB - INDIRECT COSTS TO CORPORATE,600000.0,2021,Finance General
LOCAL,0B09,CTA REAL PROPERTY TRANSFER TAX,99,FINANCE GENERAL,2005,FINANCE GENERAL,9205,FOR DISTRIBUTION - CTA,49389000.0,2021,Finance General
LOCAL,0B09,CTA REAL PROPERTY TRANSFER TAX,99,FINANCE GENERAL,2005,FINANCE GENERAL,9640,REIMB - FROM CTA,500000.0,2021,Finance General
LOCAL,0B21,TIF ADMINISTRATION,5,OBM,2005,OBM,5,SALARIES AND WAGES - ON PAYROLL,99624.0,2021,Office of Budget and Management
LOCAL,0B21,TIF ADMINISTRATION,21,DOH,2010,Department of Housing,5,SALARIES AND WAGES - ON PAYROLL,391031.0,2021,Department of Housing
LOCAL,0B21,TIF ADMINISTRATION,21,DOH,2010,Department of Housing,15,SCHEDULE SALARY ADJUSTMENTS,824.0,2021,Department of Housing
LOCAL,0B21,TIF ADMINISTRATION,21,DOH,2010,Department of Housing,139,IT DEVELOPMENT,120000.0,2021,Department of Housing
LOCAL,0B21,TIF ADMINISTRATION,21,DOH,2010,Department of Housing,140,PROFESSIONAL AND TECHNICAL SERVICES,25000.0,2021,Department of Housing
LOCAL,0B21,TIF ADMINISTRATION,27,DOF,2012,ACCOUNTING FINANCIAL REPORTING,5,SALARIES AND WAGES - ON PAYROLL,443896.0,2021,Department of Finance
LOCAL,0B21,TIF ADMINISTRATION,27,DOF,2012,ACCOUNTING FINANCIAL REPORTING,15,SCHEDULE SALARY ADJUSTMENTS,412.0,2021,Department of Finance
LOCAL,0B21,TIF ADMINISTRATION,27,DOF,2012,ACCOUNTING FINANCIAL REPORTING,142,ACCOUNTING AND AUDITING,221701.0,2021,Department of Finance
LOCAL,0B21,TIF ADMINISTRATION,28,CTO,2005,OFFICE OF CITY TREASURER,5,SALARIES AND WAGES - ON PAYROLL,332331.0,2021,City Treasurer's Office
LOCAL,0B21,TIF ADMINISTRATION,28,CTO,2005,OFFICE OF CITY TREASURER,15,SCHEDULE SALARY ADJUSTMENTS,2106.0,2021,City Treasurer's Office
LOCAL,0B21,TIF ADMINISTRATION,28,CTO,2005,OFFICE OF CITY TREASURER,138,IT MAINTENANCE,57500.0,2021,City Treasurer's Office
LOCAL,0B21,TIF ADMINISTRATION,28,CTO,2005,OFFICE OF CITY TREASURER,139,IT DEVELOPMENT,10000.0,2021,City Treasurer's Office
LOCAL,0B21,TIF ADMINISTRATION,28,CTO,2005,OFFICE OF CITY TREASURER,140,PROFESSIONAL AND TECHNICAL SERVICES,17068.0,2021,City Treasurer's Office
LOCAL,0B21,TIF ADMINISTRATION,31,LAW,2005,LAW,5,SALARIES AND WAGES - ON PAYROLL,1113415.0,2021,Department of Law
LOCAL,0B21,TIF ADMINISTRATION,54,DPD,2005,Planning and Development,5,SALARIES AND WAGES - ON PAYROLL,4110873.0,2021,Department of Planning and Development
LOCAL,0B21,TIF ADMINISTRATION,54,DPD,2005,Planning and Development,15,SCHEDULE SALARY ADJUSTMENTS,22545.0,2021,Department of Planning and Development
LOCAL,0B21,TIF ADMINISTRATION,54,DPD,2005,Planning and Development,138,IT MAINTENANCE,120000.0,2021,Department of Planning and Development
LOCAL,0B21,TIF ADMINISTRATION,54,DPD,2005,Planning and Development,139,IT DEVELOPMENT,440000.0,2021,Department of Planning and Development
LOCAL,0B21,TIF ADMINISTRATION,54,DPD,2005,Planning and Development,140,PROFESSIONAL AND TECHNICAL SERVICES,1710000.0,2021,Department of Planning and Development
LOCAL,0B21,TIF ADMINISTRATION,54,DPD,2005,Planning and Development,142,ACCOUNTING AND AUDITING,215000.0,2021,Department of Planning and Development
LOCAL,0B21,TIF ADMINISTRATION,54,DPD,2005,Planning and Development,166,DUES  SUBSC & MEM,4275.0,2021,Department of Planning and Development
LOCAL,0B21,TIF ADMINISTRATION,54,DPD,2005,Planning and Development,169,TECHNICAL MEETING COSTS,13800.0,2021,Department of Planning and Development
LOCAL,0B21,TIF ADMINISTRATION,54,DPD,2005,Planning and Development,446,PURCHASE - DATA HARDWARE,24300.0,2021,Department of Planning and Development
LOCAL,0B21,TIF ADMINISTRATION,54,DPD,2005,Planning and Development,9454,REIMBURSEMENT - DPD,125000.0,2021,Department of Planning and Development
LOCAL,0B21,TIF ADMINISTRATION,70,BACP,2005,BACP,9470,REIMBURSEMENT - BACP,375000.0,2021,Department of Business Affairs and Consumer Protection
LOCAL,0B21,TIF ADMINISTRATION,99,FINANCE GENERAL,2005,FINANCE GENERAL,29,HMO PREMIUMS,200811.0,2021,Finance General
LOCAL,0B21,TIF ADMINISTRATION,99,FINANCE GENERAL,2005,FINANCE GENERAL,42,For the Costs of Claims and Administration for Hospital and Medical Care Provided to Eligible Employees  Provided However  That All Payments to the In...,463564.0,2021,Finance General
LOCAL,0B21,TIF ADMINISTRATION,99,FINANCE GENERAL,2005,FINANCE GENERAL,45,PREM TERM LIFE INSURANCE,5686.0,2021,Finance General
LOCAL,0B21,TIF ADMINISTRATION,99,FINANCE GENERAL,2005,FINANCE GENERAL,52,MEDICAL CARE CLAIMS,10898.0,2021,Finance General
LOCAL,0B21,TIF ADMINISTRATION,99,FINANCE GENERAL,2005,FINANCE GENERAL,56,DENTAL PLAN PREMIUMS,27529.0,2021,Finance General
LOCAL,0B21,TIF ADMINISTRATION,99,FINANCE GENERAL,2005,FINANCE GENERAL,94,LAYOFFS / FURLOUGH DAYS SAVINGS,-46406.0,2021,Finance General
LOCAL,0B21,TIF ADMINISTRATION,99,FINANCE GENERAL,2005,FINANCE GENERAL,138,IT MAINTENANCE,167294.0,2021,Finance General
LOCAL,0B21,TIF ADMINISTRATION,99,FINANCE GENERAL,2005,FINANCE GENERAL,140,PROFESSIONAL AND TECHNICAL SERVICES,311.0,2021,Finance General
LOCAL,0B21,TIF ADMINISTRATION,99,FINANCE GENERAL,2005,FINANCE GENERAL,142,ACCOUNTING AND AUDITING,200000.0,2021,Finance General
LOCAL,0B21,TIF ADMINISTRATION,99,FINANCE GENERAL,2005,FINANCE GENERAL,9085,CITY DEFERRED COMPENSATION,4216.0,2021,Finance General
LOCAL,0B21,TIF ADMINISTRATION,99,FINANCE GENERAL,2005,FINANCE GENERAL,9610,REIMB - PENSION PAYMENTS,1768396.0,2021,Finance General
LOCAL,0B21,TIF ADMINISTRATION,99,FINANCE GENERAL,2005,FINANCE GENERAL,9611,REIMB - INDIRECT COSTS TO CORPORATE,669000.0,2021,Finance General
LOCAL,0B25,CHICAGO CPD CTA DETAIL,57,CPD,1005,Chicago Police Department,6,SALARY PROVISION,10754000.0,2021,Chicago Police Department
LOCAL,0B26,CHICAGO PARKING METERS,27,DOF,2015,FINANCIAL STRATEGY AND OPS,140,PROFESSIONAL AND TECHNICAL SERVICES,500000.0,2021,Department of Finance
LOCAL,0B26,CHICAGO PARKING METERS,99,FINANCE GENERAL,2005,FINANCE GENERAL,9650,REIMB - FROM PARKING METERS,10000000.0,2021,Finance General
LOCAL,0B32,GARBAGE COLLECTION FUND,81,DSS,2020,BUREAU OF SANITATION,5,SALARIES AND WAGES - ON PAYROLL,58406653.0,2021,Department of Streets and Sanitation
LOCAL,0B32,GARBAGE COLLECTION FUND,81,DSS,2020,BUREAU OF SANITATION,12,CONTRACT WAGE - PREVAILING RATE,448500.0,2021,Department of Streets and Sanitation
LOCAL,0B32,GARBAGE COLLECTION FUND,81,DSS,2020,BUREAU OF SANITATION,15,SCHEDULE SALARY ADJUSTMENTS,50964.0,2021,Department of Streets and Sanitation
LOCAL,0B32,GARBAGE COLLECTION FUND,81,DSS,2020,BUREAU OF SANITATION,20,OVERTIME,1277970.0,2021,Department of Streets and Sanitation
LOCAL,0B32,GARBAGE COLLECTION FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,94,LAYOFFS / FURLOUGH DAYS SAVINGS,-30466.0,2021,Finance General
LOCAL,0B32,GARBAGE COLLECTION FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,139,IT DEVELOPMENT,54748.0,2021,Finance General
LOCAL,0B32,GARBAGE COLLECTION FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,140,PROFESSIONAL AND TECHNICAL SERVICES,1946631.0,2021,Finance General
LOCAL,0B39,HUMAN CAPITAL INNOVATION,50,DFSS,2005,FAMILY AND SUPPORT SERVICES,9204,YOUTH MENTORING PROGRAMS,1551000.0,2021,Department of Family and Support Services
LOCAL,0B39,HUMAN CAPITAL INNOVATION,50,DFSS,2005,FAMILY AND SUPPORT SERVICES,9260,AFTER SCHOOL PROGRAMS,285000.0,2021,Department of Family and Support Services
LOCAL,0B39,HUMAN CAPITAL INNOVATION,99,FINANCE GENERAL,2005,FINANCE GENERAL,9713,TRANSFER - ADMINISTRATION,447000.0,2021,Finance General
LOCAL,0B40,HOUSESHARE SURCHARGE - HOMELESS SERVICES,50,DFSS,2005,FAMILY AND SUPPORT SERVICES,9263,HOMELESS SERVICES,6176000.0,2021,Department of Family and Support Services
LOCAL,0B40,HOUSESHARE SURCHARGE - HOMELESS SERVICES,99,FINANCE GENERAL,2005,FINANCE GENERAL,9713,TRANSFER - ADMINISTRATION,400000.0,2021,Finance General
LOCAL,0B41,NEIGHBORHOOD OPPORTUNITY FUND,54,DPD,2005,Planning and Development,5,SALARIES AND WAGES - ON PAYROLL,444070.0,2021,Department of Planning and Development
LOCAL,0B41,NEIGHBORHOOD OPPORTUNITY FUND,54,DPD,2005,Planning and Development,15,SCHEDULE SALARY ADJUSTMENTS,4607.0,2021,Department of Planning and Development
LOCAL,0B41,NEIGHBORHOOD OPPORTUNITY FUND,54,DPD,2005,Planning and Development,130,POSTAGE,1875.0,2021,Department of Planning and Development
LOCAL,0B41,NEIGHBORHOOD OPPORTUNITY FUND,54,DPD,2005,Planning and Development,139,IT DEVELOPMENT,10000.0,2021,Department of Planning and Development
LOCAL,0B41,NEIGHBORHOOD OPPORTUNITY FUND,54,DPD,2005,Planning and Development,140,PROFESSIONAL AND TECHNICAL SERVICES,426807.0,2021,Department of Planning and Development
LOCAL,0B41,NEIGHBORHOOD OPPORTUNITY FUND,54,DPD,2005,Planning and Development,169,TECHNICAL MEETING COSTS,2000.0,2021,Department of Planning and Development
LOCAL,0B41,NEIGHBORHOOD OPPORTUNITY FUND,54,DPD,2005,Planning and Development,446,PURCHASE - DATA HARDWARE,1000.0,2021,Department of Planning and Development
LOCAL,0B41,NEIGHBORHOOD OPPORTUNITY FUND,54,DPD,2005,Planning and Development,9266,NEIGHBORHOOD OPPORTUNITY,61485917.0,2021,Department of Planning and Development
LOCAL,0B41,NEIGHBORHOOD OPPORTUNITY FUND,54,DPD,2005,Planning and Development,9438,REIMBURSEMENT - AIS,6750.0,2021,Department of Planning and Development
LOCAL,0B41,NEIGHBORHOOD OPPORTUNITY FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,29,HMO PREMIUMS,10041.0,2021,Finance General
LOCAL,0B41,NEIGHBORHOOD OPPORTUNITY FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,42,For the Costs of Claims and Administration for Hospital and Medical Care Provided to Eligible Employees  Provided However  That All Payments to the In...,23178.0,2021,Finance General
LOCAL,0B41,NEIGHBORHOOD OPPORTUNITY FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,45,PREM TERM LIFE INSURANCE,284.0,2021,Finance General
LOCAL,0B41,NEIGHBORHOOD OPPORTUNITY FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,52,MEDICAL CARE CLAIMS,545.0,2021,Finance General
LOCAL,0B41,NEIGHBORHOOD OPPORTUNITY FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,56,DENTAL PLAN PREMIUMS,1376.0,2021,Finance General
LOCAL,0B41,NEIGHBORHOOD OPPORTUNITY FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,94,LAYOFFS / FURLOUGH DAYS SAVINGS,-12615.0,2021,Finance General
LOCAL,0B41,NEIGHBORHOOD OPPORTUNITY FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9085,CITY DEFERRED COMPENSATION,211.0,2021,Finance General
LOCAL,0B41,NEIGHBORHOOD OPPORTUNITY FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9610,REIMB - PENSION PAYMENTS,134954.0,2021,Finance General
LOCAL,0B41,NEIGHBORHOOD OPPORTUNITY FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9611,REIMB - INDIRECT COSTS TO CORPORATE,1277000.0,2021,Finance General
LOCAL,0B42,FOREIGN FIRE INSURANCE TAX FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,455,EMERGENCY RESPONSE VEHICLE MAINTENANCE,4125000.0,2021,Finance General
LOCAL,0B42,FOREIGN FIRE INSURANCE TAX FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,526,FIRE FACILITIES MAINTENANCE,8250000.0,2021,Finance General
LOCAL,0B42,FOREIGN FIRE INSURANCE TAX FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9287,CFD - OTHER MAINTENANCE / BENEFITS,4125000.0,2021,Finance General
LOCAL,0B43,HOUSESHARE SURCHARGE - DOMESTIC VIOLENCE,50,DFSS,2005,FAMILY AND SUPPORT SERVICES,135,DELEGATE AGENCIES,2422000.0,2021,Department of Family and Support Services
LOCAL,0B43,HOUSESHARE SURCHARGE - DOMESTIC VIOLENCE,99,FINANCE GENERAL,2005,FINANCE GENERAL,9713,TRANSFER - ADMINISTRATION,200000.0,2021,Finance General
LOCAL,0B70,CANNABIS REGULATION TAX,99,FINANCE GENERAL,2005,FINANCE GENERAL,9102,SPECIAL PROGRAM COSTS,5128000.0,2021,Finance General
LOCAL,0100,CORPORATE FUND,1,MO,2005,OFFICE OF THE MAYOR,5,SALARIES AND WAGES - ON PAYROLL,10206075.0,2022,Office of the Mayor
LOCAL,0100,CORPORATE FUND,1,MO,2005,OFFICE OF THE MAYOR,39,STUDENT AS TRAINEES,180200.0,2022,Office of the Mayor
LOCAL,0100,CORPORATE FUND,1,MO,2005,OFFICE OF THE MAYOR,126,OFFICE CONVENIENCES,1600.0,2022,Office of the Mayor
LOCAL,0100,CORPORATE FUND,1,MO,2005,OFFICE OF THE MAYOR,130,POSTAGE,5500.0,2022,Office of the Mayor
LOCAL,0100,CORPORATE FUND,1,MO,2005,OFFICE OF THE MAYOR,140,PROFESSIONAL AND TECHNICAL SERVICES,30000.0,2022,Office of the Mayor
LOCAL,0100,CORPORATE FUND,1,MO,2005,OFFICE OF THE MAYOR,149,SOFTWARE MAINTENANCE AND LICENSING,2500.0,2022,Office of the Mayor
LOCAL,0100,CORPORATE FUND,1,MO,2005,OFFICE OF THE MAYOR,150,OUTSIDE GRAPHIC SERVICES,1600.0,2022,Office of the Mayor
LOCAL,0100,CORPORATE FUND,1,MO,2005,OFFICE OF THE MAYOR,157,RENTAL EQUIPMENT AND SERVICES,46000.0,2022,Office of the Mayor
LOCAL,0100,CORPORATE FUND,1,MO,2005,OFFICE OF THE MAYOR,159,LEASE/PURCHASE EQUIPMENT,52000.0,2022,Office of the Mayor
LOCAL,0100,CORPORATE FUND,1,MO,2005,OFFICE OF THE MAYOR,162,REPAIR/MAINT EQUIPMENT,6984.0,2022,Office of the Mayor
LOCAL,0100,CORPORATE FUND,1,MO,2005,OFFICE OF THE MAYOR,166,DUES  SUBSC & MEM,249511.0,2022,Office of the Mayor
LOCAL,0100,CORPORATE FUND,1,MO,2005,OFFICE OF THE MAYOR,169,TECHNICAL MEETING COSTS,6000.0,2022,Office of the Mayor
LOCAL,0100,CORPORATE FUND,1,MO,2005,OFFICE OF THE MAYOR,229,TRANSPORTATION AND EXPENSE ALLOWANCE,1000.0,2022,Office of the Mayor
LOCAL,0100,CORPORATE FUND,1,MO,2005,OFFICE OF THE MAYOR,245,REIMBURSEMENT TO TRAVELERS,100000.0,2022,Office of the Mayor
LOCAL,0100,CORPORATE FUND,1,MO,2005,OFFICE OF THE MAYOR,270,LOCAL TRANSPORTATION,3000.0,2022,Office of the Mayor
LOCAL,0100,CORPORATE FUND,1,MO,2005,OFFICE OF THE MAYOR,350,STATIONERY AND OFFICE SUPPLIES,30000.0,2022,Office of the Mayor
LOCAL,0100,CORPORATE FUND,1,MO,2005,OFFICE OF THE MAYOR,9121,LOBBYIST COSTS,200000.0,2022,Office of the Mayor
LOCAL,0355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,1,MO,2005,OFFICE OF THE MAYOR,5,SALARIES AND WAGES - ON PAYROLL,454296.0,2022,Office of the Mayor
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,5,SALARIES AND WAGES - ON PAYROLL,6575057.0,2022,Office of Inspector General
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,15,SCHEDULE SALARY ADJUSTMENTS,65084.0,2022,Office of Inspector General
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,20,OVERTIME,3000.0,2022,Office of Inspector General
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,130,POSTAGE,1879.0,2022,Office of Inspector General
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,138,IT MAINTENANCE,514088.0,2022,Office of Inspector General
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,140,PROFESSIONAL AND TECHNICAL SERVICES,706446.0,2022,Office of Inspector General
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,143,COURT REPORTING,52500.0,2022,Office of Inspector General
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,149,SOFTWARE MAINTENANCE AND LICENSING,1170827.0,2022,Office of Inspector General
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,150,OUTSIDE GRAPHIC SERVICES,6000.0,2022,Office of Inspector General
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,157,RENTAL EQUIPMENT AND SERVICES,48779.0,2022,Office of Inspector General
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,159,LEASE/PURCHASE EQUIPMENT,549914.0,2022,Office of Inspector General
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,161,MAINT FACILITIES,1000000.0,2022,Office of Inspector General
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,162,REPAIR/MAINT EQUIPMENT,1000.0,2022,Office of Inspector General
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,166,DUES  SUBSC & MEM,18282.0,2022,Office of Inspector General
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,169,TECHNICAL MEETING COSTS,115299.0,2022,Office of Inspector General
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,181,MOBILE COMMUNICATION SERVICES,28435.0,2022,Office of Inspector General
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,189,TELEPHONE - NON-CENTREX BILLINGS,64975.0,2022,Office of Inspector General
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,245,REIMBURSEMENT TO TRAVELERS,15821.0,2022,Office of Inspector General
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,270,LOCAL TRANSPORTATION,31025.0,2022,Office of Inspector General
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,312,SOFTWARE PURCHASES,416000.0,2022,Office of Inspector General
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,320,GASOLINE,2506.0,2022,Office of Inspector General
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,340,MATERIAL AND SUPPLIES,5423.0,2022,Office of Inspector General
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,348,BOOKS AND RELATED MATERIAL,1273.0,2022,Office of Inspector General
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,350,STATIONERY AND OFFICE SUPPLIES,28326.0,2022,Office of Inspector General
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,424,FURNITURE AND FURNISHINGS,50000.0,2022,Office of Inspector General
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,446,PURCHASE - DATA HARDWARE,88477.0,2022,Office of Inspector General
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,700,CONTINGENCIES,97060.0,2022,Office of Inspector General
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,9438,REIMBURSEMENT - AIS,2000.0,2022,Office of Inspector General
